Study Details,United States,Unnamed: 2
92133,OCT (optical coherence tomography),348.4
92225,"Ophthalmoscopy, extended, with retinal drawing, Fundoscopy, Optic Nerve Examination; initial; unilateral : Includes interpretation and report",288.6
ADEVT,AE Assessments,78
CONMD,Concomitant medications and procedures,78
NP081,"Physician: Ophthalmology - Per Hour  
",220
NP004,Physician time includes reporting for Protosigmoidoscopy and colonoscopy- Per Hour  (Max 1 hour),250
NP001,Study Coordinator - Per Hour (Max 1 hour),82
94729,"Diffusing capacity (eg, carbon monoxide, membrane) ",169
R4729,"Interpretation and report; Diffusing capacity (eg, carbon monoxide, membrane)",26
94010,"Pulmonary function test (PFT), lung function test",260
R4010,"Interpretation and Report of pulmonary function test (PFT), lung function test ",78
NP068,"PFT - Administration of PFT for 1 hour
",194
NP004,Physician time includes reporting for Protosigmoidoscopy and colonoscopy- Per Hour  (Max 1 hour),208
NP001,Study Coordinator - Per Hour (Max 1 hour),82
92133,OCT (optical coherence tomography),348.4
92225,"Ophthalmoscopy, extended, with retinal drawing, Fundoscopy, Optic Nerve Examination; initial; unilateral : Includes interpretation and report",288.6
NP081,"Physician: Ophthalmology - Per Hour  
",220
99173,Visual acuity,48.1
INCON,"Informed consent (Incl. Genomics Consent, Patient Assent)",260
INCEX,Inclusion/Exclusion criteria,87.1
ADEVT,Adverse event assessment,78
93000,"12 lead ECG: Includes tracing, interpretation and report",161.2
99205,"Initial examination [Includes a comprehensive Medical and social history, Ulcerative colitis history, a comprehensive physical examination including Extraintestinal manifestation,  vital signs, weight and height and blood pressure.]",345.8
94010,"Pulmonary function test (PFT), lung function test",260
R4010,"Interpretation and Report of pulmonary function test (PFT), lung function test ",78
92133,OCT (optical coherence tomography),348.4
T9010,"Urine collection [Includes: drug screen, urine pregnancy test if applicable, urinalysis - central lab]",26
36415,"Blood Draw- central Lab [Includes Virology screen (HIV, HBV, HCV), QuantiFERON test (if applicable), Serum ß hCG if applicable, serum chemistry, hematology (including coagulation and CD4 T-cell count), hs-CRP, Biomarkers]",52
99000,Lab handling and/or shipping of specimen(s) - central lab,62.4
T9012,Stool Collection-central lab [calprotectin/microbiome],52
CONMD,Concomitant medications and procedures,78
NP004,Physician time for rescreening  ,250
NP001,Study coordinator time for rescreening  ,82
NP001,Prescreening total - one time fee ,820
,,
,,
,,
Code,Site Costs,Budget
SC003,Study Start-Up Fee/Site Set-Up Fee,6000
SC008,Pharmacy:  Set-Up Fee,1500
SC010,Pharmacy:  Storage Costs,488
SC020,"Document Storage, Archiving Total Cost",1000
,Unscheduled Visits - Invoice for actual assessments completed,TBD
SC005,Local IRB - Initial Review (Invoice per documentation provided),TBD
,Local IRB - Annual Review (Invoice per documentation provided),TBD
SC130,Informed Consent Re-Consent,100
SC004,Advertising,5000
